GEOID,sovi,rank,fema_region
g01001,-4.5602870138621485,708.0,FEMA_4
g01003,-1.6866899159876436,582.0,FEMA_4
g01005,1.7208733036082844,149.0,FEMA_4
g01007,-3.116673278286099,670.0,FEMA_4
g01009,-2.3265708997770322,624.0,FEMA_4
g01011,0.34207357982072084,305.0,FEMA_4
g01013,1.5412760707288298,166.0,FEMA_4
g01015,-1.1747126600092825,516.0,FEMA_4
g01017,0.0760377527420911,349.0,FEMA_4
g01019,-0.09333683069504115,369.0,FEMA_4
g01021,-2.1989173751498674,618.0,FEMA_4
g01023,-1.4818417196254563,552.0,FEMA_4
g01025,-0.6890604102400251,450.0,FEMA_4
g01027,0.5498874384243171,279.0,FEMA_4
g01029,-1.6331897297582676,570.0,FEMA_4
g01031,-0.9532580895521043,483.0,FEMA_4
g01033,-1.6306498729604288,569.0,FEMA_4
g01035,0.6212895924412621,273.0,FEMA_4
g01037,-0.3948012937878082,406.0,FEMA_4
g01039,0.0707094487907182,350.0,FEMA_4
g01041,-0.36142045339706463,403.0,FEMA_4
g01043,-0.9767966286094425,490.0,FEMA_4
g01045,-0.4205702726362174,412.0,FEMA_4
g01047,0.8704849674006436,243.0,FEMA_4
g01049,0.33853103854256567,306.0,FEMA_4
g01051,-3.212181832592962,673.0,FEMA_4
g01053,2.7845038647755533,82.0,FEMA_4
g01055,-0.4793101896451233,420.0,FEMA_4
g01057,-0.285948544941681,391.0,FEMA_4
g01059,0.3869979231648194,300.0,FEMA_4
g01061,-0.5166486404652217,426.0,FEMA_4
g01063,1.4428214097893848,178.0,FEMA_4
g01065,0.8573671007358297,246.0,FEMA_4
g01067,0.06955292444321803,351.0,FEMA_4
g01069,-1.381616380805929,538.0,FEMA_4
g01071,-0.9753851961335408,489.0,FEMA_4
g01073,-1.8086083187198037,591.0,FEMA_4
g01075,-0.4391600689525731,414.0,FEMA_4
g01077,-0.6960366210150806,453.0,FEMA_4
g01079,-0.2949037364471261,393.0,FEMA_4
g01081,-3.092307419657095,667.0,FEMA_4
g01083,-2.7223775492034568,646.0,FEMA_4
g01085,-0.9062614189701493,481.0,FEMA_4
g01087,3.0720145551622737,68.0,FEMA_4
g01089,-3.8113731804593636,693.0,FEMA_4
g01091,0.18458178779429518,332.0,FEMA_4
g01093,0.4965714250102343,286.0,FEMA_4
g01095,-0.11511334323704527,372.0,FEMA_4
g01097,-1.5120730853122941,557.0,FEMA_4
g01099,0.4022445519533673,299.0,FEMA_4
g01101,-1.1395138073101325,510.0,FEMA_4
g01103,-1.7212500799452575,586.0,FEMA_4
g01105,3.3638201981286526,56.0,FEMA_4
g01107,0.1453748971422294,339.0,FEMA_4
g01109,0.3376605519040459,308.0,FEMA_4
g01111,0.06904609640808612,352.0,FEMA_4
g01113,0.6498014078029755,269.0,FEMA_4
g01115,-3.6659261578732347,687.0,FEMA_4
g01117,-6.295277128644891,728.0,FEMA_4
g01119,3.4105380595589985,52.0,FEMA_4
g01121,-0.9026089316117756,480.0,FEMA_4
g01123,0.6800972281753754,264.0,FEMA_4
g01125,-2.3522249567192937,629.0,FEMA_4
g01127,-0.48661618989332667,422.0,FEMA_4
g01129,-0.3726931898737629,404.0,FEMA_4
g01131,0.8478800393659452,249.0,FEMA_4
g01133,0.4751535405846457,287.0,FEMA_4
g02013,,,
g02016,,,
g02020,,,
g02050,,,
g02060,,,
g02068,,,
g02070,,,
g02090,,,
g02100,,,
g02105,,,
g02110,,,
g02122,,,
g02130,,,
g02150,,,
g02164,,,
g02170,,,
g02180,,,
g02185,,,
g02188,,,
g02195,,,
g02198,,,
g02220,,,
g02230,,,
g02240,,,
g02261,,,
g02270,,,
g02275,,,
g02282,,,
g02290,,,
g04001,9.371917709283382,1.0,FEMA_9
g04003,0.44575821033757,40.0,FEMA_9
g04005,-0.5026438811333223,50.0,FEMA_9
g04007,5.2754617782039235,3.0,FEMA_9
g04009,0.45077087976628505,39.0,FEMA_9
g04011,-4.603472342637207,86.0,FEMA_9
g04012,4.100729785665588,7.0,FEMA_9
g04013,-2.2215266695477442,77.0,FEMA_9
g04015,2.0642340333248357,14.0,FEMA_9
g04017,4.898057019143684,4.0,FEMA_9
g04019,0.04935546938813429,46.0,FEMA_9
g04021,-1.3658149467691336,65.0,FEMA_9
g04023,3.6043869418628622,9.0,FEMA_9
g04025,0.9605921896578702,28.0,FEMA_9
g04027,2.3918211240135374,12.0,FEMA_9
g05001,-0.6131063010845832,316.0,FEMA_6
g05003,-1.2021118897859533,359.0,FEMA_6
g05005,3.6749978881611924,35.0,FEMA_6
g05007,-1.4536477328373048,377.0,FEMA_6
g05009,1.0897458578294814,155.0,FEMA_6
g05011,0.5639527593049488,199.0,FEMA_6
g05013,-2.794830977492965,441.0,FEMA_6
g05015,1.497817469299668,127.0,FEMA_6
g05017,1.8615358429655553,99.0,FEMA_6
g05019,1.510904418816113,125.0,FEMA_6
g05021,1.2101995955367706,145.0,FEMA_6
g05023,0.8407707156320278,179.0,FEMA_6
g05025,-2.166053441389428,408.0,FEMA_6
g05027,0.1427591261740141,241.0,FEMA_6
